ID,Genus,Name,Dev,Stage,Maxilla,Mouth_Angle,Tip from premaxilla to dorsal fin insertion,Breast,Pelvic_to_anal_fin,Dorsal Fin Length,Anal_Fin_Length,Standard_Length,Body_Depth,Orbit_Diameter,Head_Length,Lower_Jaw_Length,Notes,,Tip from premaxilla to dorsal fin insertion,Breast,Pelvic_to_anal_fin,Dorsal Fin Length,Anal_Fin_Length,Standard_Length,Body_Depth,Orbit_Diameter,Head_Length,Lower_Jaw_Length
39974,Taractes,Taractes rubescens,Adult,1,6.572,,26.148,13.366,18.116,30.254,18.055,63.492,24.717,4.545,20.119,11.489,,,0.411831412,0.210514711,0.285327285,0.476500977,0.284366534,1,0.389293139,0.071583822,0.316874567,0.180951931
44137,Brama,Brama japonica,Adult,1,3.493,,18.239,8.675,6.484,21.539,16.245,40.259,18.764,2.655,11.096,4.487,,,0.287264537,0.136631387,0.102123102,0.339239589,0.255859006,1,0.295533296,0.041816292,0.174762175,0.070670321
44138,Brama,Brama japonica,Adult,1,2.539,,17.494,9.609,7.468,24.144,17.903,38.944,18.735,2.331,9.056,4.307,Crooked body,,0.275530776,0.151341901,0.117621118,0.38026838,0.281972532,1,0.295076545,0.036713287,0.142632143,0.067835318
44139,Taractichthys,Taractichthys steindachneri,Adult,1,5.947,,28.07,8.644,12.387,33.145,26.632,64.586,31.233,4.412,18.381,8.765,,,0.442102942,0.136143136,0.195095445,0.522034272,0.419454419,1,0.491920242,0.069489069,0.28950104,0.138048888
44140,Taractes,Taractes rubescens,Adult,1,4.767,,23.272,5.927,14.464,23.971,15.43,49.648,19.447,3.536,15.404,6.574,,,0.366534367,0.093350343,0.227808228,0.377543628,0.243022743,1,0.306290556,0.055692056,0.242613243,0.103540604
44141,Taractichthys,Taractichthys steindachneri,Adult,1,3.822,,25.51,7.242,12.485,28.603,22.227,46.735,24.48,2.748,12.793,5.197,,,0.401782902,0.114061614,0.196638947,0.4504977,0.3500756,1,0.385560386,0.043281043,0.201489951,0.081852832
44142,Brama,Brama japonica,Adult,1,3.799,,18.951,7.883,7.912,22.874,19.031,46.043,21.068,3.036,12.276,6.669,,,0.298478548,0.124157374,0.124614125,0.36026586,0.29973855,1,0.331821332,0.047817048,0.193347193,0.105036855
44143,Brama,Brama japonica,Adult,1,3.352,,17.804,9.795,6.985,23.203,17.326,44.949,20.035,2.644,10.994,5.525,Damaged,,0.28041328,0.154271404,0.11001386,0.365447615,0.272884773,1,0.315551566,0.041643042,0.173155673,0.087018837
44144,Brama,Brama japonica,Adult,1,3.219,,22.441,8.916,9.011,24.281,19.095,43.846,20.846,2.995,11.982,6.033,,,0.353446103,0.14042714,0.141923392,0.382426132,0.300746551,1,0.328324828,0.047171297,0.188716689,0.095019845
44145,Taractes,Taractes rubescens,Adult,1,6.941,,28.67,7.105,22.086,35.961,20.441,69.955,28.238,5.295,21.695,8.904,,,0.451552952,0.111903862,0.347854848,0.566386316,0.321946072,1,0.444748945,0.083396333,0.341696592,0.14023814
44147,Taractichthys,Taractichthys steindachneri,Adult,1,3.927,,24.462,6.484,11.476,26.639,22.279,47.994,22.857,2.903,12.831,6.418,,,0.385276885,0.102123102,0.180747181,0.41956467,0.350894601,1,0.35999811,0.045722296,0.202088452,0.101083601
46322,Taractes,Taractes rubescens,Adult,1,5.739,,28.127,9.245,17.642,34.453,19.709,60.081,24.708,4.27,20.258,11.453,,,0.443000693,0.145608896,0.277861778,0.542635293,0.31041706,1,0.389151389,0.067252567,0.319063819,0.18038493
46324,Taractichthys,Taractichthys steindachneri,Adult,1,3.737,,18.719,4.817,7.496,22.134,17.22,68.332,33.479,4.139,10.16,5.103,,,0.294824545,0.075867826,0.118062118,0.348610849,0.271215271,1,0.527294777,0.065189315,0.16002016,0.08037233
46325,Taractes,Taractes rubescens,Adult,1,2.995,,24.861,9.717,18.347,29.143,16.545,59.744,24.039,3.64,16.155,9.078,,,0.391561142,0.153042903,0.288965539,0.459002709,0.260584011,1,0.378614629,0.057330057,0.254441504,0.142978643
46326,Taractes,Taractes rubescens,Adult,1,6.225,,26.421,11.428,20.646,27.91,16.91,66.059,24.149,4.544,19.583,10.724,,,0.416131166,0.17999118,0.325174825,0.43958294,0.266332766,1,0.38034713,0.071568072,0.308432558,0.168903169
46327,Brama,Brama japonica,Adult,1,3.886,,18.379,9.034,7.718,23.316,19.855,42.05,19.084,2.519,10.145,4.822,,,0.289469539,0.142285642,0.121558622,0.367227367,0.312716563,1,0.300573301,0.03967429,0.15978391,0.075946576
46328,Taractes,Taractes rubescens,Adult,1,6.236,,27.522,10.393,20.145,33.149,18.391,65.931,24.635,4.348,16.72,9.005,Maxilla?,,0.433471933,0.163689914,0.317284067,0.522097272,0.28965854,1,0.388001638,0.068481068,0.263340263,0.141828892
46329,Taractichthys,Taractichthys steindachneri,Adult,1,4.249,,22.5,6.968,10.371,27.03,21.478,46.245,25.365,3.047,14.401,7.414,,,0.354375354,0.10974611,0.163343413,0.425722926,0.338278838,1,0.399499149,0.047990298,0.226815977,0.116770617
46330,Taractes,Taractichthys longipinnis,Adult,1,2.678,,17.361,5.204,8.405,19.855,18.455,33.55,18.702,2.095,9.055,4.62,,,0.273436023,0.081963082,0.132378882,0.312716563,0.290666541,1,0.294556795,0.032996283,0.142616393,0.072765073
46331,Taractichthys,Taractichthys longipinnis,Adult,1,2.847,,13.753,4.648,6.843,18.191,15.697,33.3,19.338,1.986,10.536,5.899,,,0.216609967,0.073206073,0.107777358,0.286508537,0.247227997,1,0.304573805,0.031279531,0.165942166,0.092909343
46333,Brama,Brama japonica,Adult,1,2.116,,13.198,7.097,5.92,18.748,13.521,32.857,14.011,1.841,7.738,3.604,,,0.207868708,0.111777862,0.093240093,0.295281295,0.212955963,1,0.220673471,0.028995779,0.121873622,0.056763057
46334,Brama,Brama japonica,Adult,1,3.15,,15.704,8.709,5.961,18.407,13.549,38.393,16.428,2.698,9.123,4.699,"Bent, maxilla?",,0.247338247,0.137166887,0.093885844,0.28991054,0.213396963,1,0.258741259,0.042493542,0.143687394,0.074009324
46335,Brama,Brama japonica,Adult,1,2.724,,13.41,6.686,6.265,17.846,11.629,32.012,14.654,2.19,8.503,3.859,Glove Covering,,0.211207711,0.105304605,0.098673849,0.281074781,0.183156933,1,0.230800731,0.034492534,0.133922384,0.060779311
46336,Brama,Brama brama,Adult,1,2.931,,16.92,7.175,5.979,19.416,14.912,36.819,16.423,2.445,9.612,4.609,,,0.266490266,0.113006363,0.094169344,0.305802306,0.234864235,1,0.258662509,0.038508789,0.151389151,0.072591823
46337,Brama,Brama brama,Adult,1,2.721,,17.525,7.542,5.99,18.214,14.941,35.41,15.918,2.115,8.996,5.191,Damaged,,0.276019026,0.118786619,0.094342594,0.286870787,0.235320985,1,0.250708751,0.033311283,0.141687142,0.081758332
46339,Brama,Brama japonica,Adult,1,2.45,,15.602,5.944,5.952,16.625,14.493,29.657,14.281,2.009,9.282,4.813,,,0.245731746,0.093618094,0.093744094,0.261844012,0.228264978,1,0.224925975,0.031641782,0.146191646,0.075804826
46340,Brama,Brama japonica,Adult,1,2.944,,13.937,7.42,5.414,19.319,14.511,32.025,15.148,1.978,8.839,4.403,Damaged,,0.21950797,0.116865117,0.085270585,0.304274554,0.228548479,1,0.238581239,0.031153531,0.139214389,0.069347319
46341,Brama,Brama japonica,Adult,1,3.247,,17.236,7.837,7.451,21.403,15.802,37.983,17.585,2.402,9.382,4.797,Tail Bent,,0.271467271,0.123432873,0.117353367,0.337097587,0.248881749,1,0.276964027,0.037831538,0.147766648,0.075552826
46342,Brama,Brama japonica,Adult,1,2.538,,17.821,10.206,6.98,20.842,17.795,36.258,16.759,2.479,9.645,4.791,Damaged,,0.280681031,0.160744661,0.10993511,0.328261828,0.28027153,1,0.263954514,0.039044289,0.151908902,0.075458325
46343,Brama,Brama japonica,Adult,1,3.035,,12.899,5.953,4.833,14.837,12.039,31.648,13.703,1.981,7.468,4.498,,,0.203159453,0.093759844,0.076119826,0.233682984,0.18961444,1,0.215822466,0.031200781,0.117621118,0.070843571
46344,Brama,Brama japonica,Adult,1,2.799,,13.601,6.917,5.758,17.332,13.791,32.865,14.368,2.048,7.656,4.74,,,0.214215964,0.108942859,0.090688591,0.272979273,0.217208467,1,0.226296226,0.032256032,0.120582121,0.074655075
46345,Brama,Brama japonica,Adult,1,3.113,,18.859,8.353,8.43,22.227,17.449,40.28,17.014,2.497,9.671,5.278,,,0.297029547,0.131559882,0.132772633,0.3500756,0.274822025,1,0.267970768,0.039327789,0.152318402,0.083128583
46346,Taractichthys,Taractichthys steindachneri,Adult,1,3.576,,26.916,9.732,10.726,25.621,23.387,51.725,23.095,2.834,13.481,7.78,Damaged,,0.423927424,0.153279153,0.168934669,0.403531154,0.368345618,1,0.363746614,0.044635545,0.212325962,0.122535123
46347,Taractes,Taractes asper,Adult,1,4.354,,16.453,6.26,13.113,21.89,14.513,40.376,17.189,3.198,11.654,6.201,Damaged middle,,0.259135009,0.098595099,0.206529957,0.344767845,0.228579979,1,0.270727021,0.05036855,0.183550684,0.097665848
46348,Taractes,Taractes asper,Adult,1,3.394,,16.879,5.298,10.692,19.459,15.228,37.91,15.167,3.636,11.276,7.01,,,0.265844516,0.083443583,0.168399168,0.306479556,0.23984124,1,0.238880489,0.057267057,0.177597178,0.11040761
46349,Taractes,Taractes asper,Adult,1,5.408,,16.517,7.586,10.387,20.331,15.018,42.513,17.537,3.37,12.086,8.556,,,0.26014301,0.119479619,0.163595414,0.32021357,0.236533737,1,0.276208026,0.053077553,0.19035469,0.134757135
46350,Taractichthys,Taractichthys steindachneri,Adult,1,3.833,,14.713,5.781,8.336,18.45,14.925,34.142,17.084,2.153,9.532,5.46,,,0.231729982,0.091050841,0.131292131,0.290587791,0.235068985,1,0.269073269,0.033909784,0.15012915,0.085995086
46351,Taractichthys,Taractichthys steindachneri,Adult,1,4.611,,26.109,7.726,15.641,31.949,24.343,59.285,28.271,3.985,17.254,8.992,,,0.411217161,0.121684622,0.246345996,0.503197253,0.383402633,1,0.445268695,0.062763813,0.271750772,0.141624142
46352,Taractichthys,Taractichthys steindachneri,Adult,1,6.043,,30.882,10.999,16.294,32.992,26.105,65.273,30.53,4.541,19.782,10.557,,,0.486391986,0.173234423,0.256630757,0.51962452,0.411154161,1,0.480847981,0.071520822,0.311566812,0.166272916
46353,Taractichthys,Taractichthys steindachneri,Adult,1,3.194,,16.913,5.758,9.539,19.687,15.632,34.175,18.323,2.245,10.081,5.57,,,0.266380016,0.090688591,0.1502394,0.31007056,0.246204246,1,0.288587539,0.035358785,0.158775909,0.087727588
46354,Taractichthys,Taractichthys steindachneri,Adult,1,3.505,,17.18,6.395,8.635,20.171,17.29,35.736,19.402,2.28,11.638,6.283,,,0.270585271,0.100721351,0.136001386,0.317693568,0.272317772,1,0.305581806,0.035910036,0.183298683,0.098957349
46355,Taractes,Taractes rubescens,Adult,1,6.967,,27.654,10.432,22.055,33.068,19.136,69.024,26.9,4.391,16.94,9.185,,,0.435550936,0.164304164,0.347366597,0.520821521,0.301392301,1,0.423675424,0.069158319,0.266805267,0.144663895
46356,Brama,Brama japonica,Adult,1,3.568,,16.975,10.028,6.371,21.197,15.998,37.676,17.57,2.256,9.464,5.205,,,0.267356517,0.157941158,0.10034335,0.333853084,0.251968752,1,0.276727777,0.035532036,0.149058149,0.081978832
46357,Brama,Brama japonica,Adult,1,3.305,,17.56,9.289,6.924,24.117,18.699,40.609,17.689,2.109,9.713,4.977,Maxilla?,,0.276570277,0.146301896,0.109053109,0.37984313,0.294509545,1,0.278602029,0.033216783,0.152979903,0.078387828
46358,Brama,Brama japonica,Adult,1,3.167,,16.822,9.721,6.166,23.19,18.005,38.312,17.573,2.497,9.968,5.11,,,0.264946765,0.153105903,0.097114597,0.365242865,0.283579034,1,0.276775027,0.039327789,0.156996157,0.08048258
57530,Taractichthys,Taractichthys steindachneri,Adult,1,6.166,,28.239,9.924,14.729,34.355,25.857,61.987,27.449,4.259,17.238,8.856,,,0.444764695,0.156303156,0.231981982,0.541091791,0.407248157,1,0.432322182,0.067079317,0.271498771,0.139482139
57531,Taractes,Taractes rubescens,Adult,1,6.226,,27.528,11.035,21.222,32.689,20.322,66.52,24.545,3.987,17.521,8.433,,,0.433566434,0.173801424,0.334246834,0.514852265,0.32007182,1,0.386584137,0.062795313,0.275956026,0.132819883
57532,Taractichthys,Taractichthys steindachneri,Adult,1,4.452,,22.151,17.991,11.241,25.508,19.8,45.254,22.842,3.285,12.718,7.634,,,0.348878599,0.283358533,0.177045927,0.401751402,0.311850312,1,0.35976186,0.051738802,0.2003087,0.12023562
57533,Taractichthys,Taractichthys steindachneri,Adult,1,4.248,,21.111,5.985,11.02,27.049,20.522,48.163,23.789,3.392,14.21,7.837,,,0.332498582,0.094263844,0.173565174,0.426022176,0.323221823,1,0.374677125,0.053424053,0.223807724,0.123432873
57534,Taractichthys,Taractichthys steindachneri,Adult,1,3.874,,18.147,5.104,9.756,21.435,16.65,37.786,19.064,2.109,11.699,6.311,,,0.285815536,0.08038808,0.153657154,0.337601588,0.262237762,1,0.3002583,0.033216783,0.184259434,0.099398349
57535,Taractichthys,Taractichthys steindachneri,Adult,1,2.927,,16.234,5.557,9.678,20.993,16.664,36.039,18.595,2.147,9.481,4.771,,,0.255685756,0.087522838,0.152428652,0.330640081,0.262458262,1,0.292871543,0.033815284,0.149325899,0.075143325
96428,Taractichthys,Taractichthys longipinnis,Adult,1,3.157,,18.009,5.418,9.973,22.325,17.115,36.698,17.805,2.013,10.565,5.556,,,0.283642034,0.085333585,0.157074907,0.351619102,0.26956152,1,0.28042903,0.031704782,0.166398916,0.087507088
172796,Taractichthys,Taractichthys steindachneri,Adult,1,4.192,,24.283,7.776,14.525,28.634,23.199,51.488,24.495,3.706,13.814,8.009,,,0.382457632,0.122472122,0.228768979,0.450985951,0.365384615,1,0.385796636,0.058369558,0.217570718,0.126141876
AUMNH_I_16126_001,Pteraclis,Pteraclis aesticola,Adult,1,3.263,,1.98,1.688,0.494,34.595,31.379,34.281,10.103,2.322,7.666,3.522,,,0.031185031,0.026586027,0.007780508,0.544871795,0.494219744,1,0.159122409,0.036571537,0.120739621,0.055471555
AUMNH_I_21126_002,Pteraclis,Pteraclis velifera,Adult,1,2.428,,1.369,1.339,0.636,34.47,29.793,34.311,10.225,1.96,6.912,3.348,,,0.021561772,0.021089271,0.01001701,0.542903043,0.469240219,1,0.161043911,0.030870031,0.108864109,0.052731053
AUMNH_I_22821_035,Eumegistus,Eumegistus illustris,Adult,1,2.869,,15.205,8.395,8.878,18.77,11.888,33.948,16.278,2.352,8.863,5.298,,,0.239478989,0.132221382,0.13982864,0.295627796,0.187236187,1,0.256378756,0.037044037,0.13959239,0.083443583
AUMNH_I_27500_001,Xenobrama,Xenobrama_microlepis,Adult,1,3.087,,16.255,7.016,8.857,19.869,13.819,35.881,15.218,2.444,9.028,4.458,,,0.256016506,0.110502111,0.139497889,0.312937063,0.217649468,1,0.23968374,0.038493038,0.142191142,0.07021357
AUMNH_I_32757_001,Pteraclis,Pteraclis aesticola,Adult,1,2.317,,1.89,,,39.368,32.697,39.644,11.736,2.295,8.952,3.975,,,0.02976753,,,0.62004662,0.514978265,1,0.184842185,0.036146286,0.140994141,0.062606313
AUMNH_I_33330_001,Taractichthys,Taractichthys steindachneri,Adult,1,4.187,,20.616,9.414,11.767,25.924,20.248,47.692,26.811,2.778,11.505,5.045,,,0.324702325,0.148270648,0.185330435,0.408303408,0.318906319,1,0.422273672,0.043753544,0.181203931,0.079458829
AUMNH_I_34097_001,Taractichthys,Taractichthys steindachneri,Adult,1,5.888,,21.339,5.411,9.268,24.33,19.575,41.723,24.311,2.646,12.901,5.726,,,0.336089586,0.085223335,0.145971146,0.383197883,0.308306558,1,0.382898633,0.041674542,0.203190953,0.09018459
AUMNH_I_34633_001,Taractichthys,Taractichthys steindachneri,Adult,1,4.441,,17.081,6.656,10.036,21.366,17.237,36.575,22.044,1.988,9.711,4.4,,,0.269026019,0.104832105,0.158067158,0.336514837,0.271483021,1,0.347193347,0.031311031,0.152948403,0.069300069
AUMNH_I_34990_001,Pteraclis,Pteraclis velifera,Adult,1,4.198,,3.123,1.655,1.468,46.993,41.133,48.59,11.798,2.864,9.606,3.953,,,0.049187299,0.026066276,0.023121023,0.74014049,0.647845398,1,0.185818686,0.045108045,0.151294651,0.062259812
AUMNH_I_37875_001,Taractes,Taractes asper,Adult,1,4.395,,14.91,5.265,10.247,17.78,13,35.292,14.917,3.487,11.199,6.036,,,0.234832735,0.082923833,0.161390411,0.28003528,0.204750205,1,0.234942985,0.054920305,0.176384426,0.095067095
AUMNH_I_39920_002,Taractichthys,Taractichthys steindachneri,Adult,1,1.442,,7.456,3.349,4.216,9.669,7.276,15.942,9.78,1.367,4.57,2.504,,,0.117432117,0.052746803,0.066402066,0.152286902,0.114597115,1,0.154035154,0.021530272,0.071977572,0.039438039
AUMNH_I_43350_001,Pteraclis,Pteraclis aesticola,Adult,1,3.568,,3.398,,,39.932,34.653,42.129,11.118,2.118,8.48,4.074,,,0.053518554,,,0.628929629,0.545785296,1,0.175108675,0.033358533,0.133560134,0.064165564
AUMNH_IB_3555,Pteraclis,Pteraclis aesticola,Adult,1,3.513,,2.199,,,35.607,30.436,36.865,9.467,2.024,9.366,4.057,,,0.034634285,,,0.560810811,0.479367479,1,0.149105399,0.031878032,0.147514648,0.063897814
Fresh,Pterycombus,Pterycombus petersii,Adult,1,0.866,,1.017,0.883,0.518,6.535,5.742,7.931,2.929,1.022,2.059,1.233,,,0.016017766,0.013907264,0.008158508,0.102926353,0.09043659,1,0.046131796,0.016096516,0.032429282,0.019419769
MCZ_131846,Taractichthys,Taractichthys longipinnis,Adult,1,3.913,,18.955,7.258,9.089,24.2,18.813,41.661,23.396,2.026,12.842,7.176,,,0.298541549,0.114313614,0.143151893,0.381150381,0.296305046,1,0.368487368,0.031909532,0.202261702,0.113022113
MCZ_148056,Taractes,Taractes asper,Juvenile,0,1.279,,2.752,0.851,1.554,2.798,2.087,5.761,2.671,0.928,2.365,1.411,,,0.043344043,0.013403263,0.024475524,0.044068544,0.032870283,1,0.042068292,0.014616015,0.037248787,0.022223272
MCZ_148057,Taractes,Taractes asper,Adult,1,2.218,,7.027,0.957,4.893,8.901,6.376,16.739,7.791,1.646,5.492,3.723,,,0.110675361,0.015072765,0.077064827,0.14019089,0.1004221,1,0.122708373,0.025924526,0.086499086,0.058637309
MCZ_148060,Taractes,Taractes rubescens,Juvenile,0,1.187,,2.677,1.07,1.628,2.163,1.33,4.876,2.673,0.766,2.218,1.447,,,0.042162792,0.016852517,0.025641026,0.034067284,0.020947521,1,0.042099792,0.012064512,0.034933535,0.022790273
MCZ_148066_1,Brama,Brama orcini,Adult,1,3.55,,11.626,7.688,4.682,16.288,13.768,27.467,13.441,1.531,6.562,3.679,Crooked body,,0.183109683,0.121086121,0.073741574,0.256536257,0.216846217,1,0.211695962,0.024113274,0.103351603,0.057944308
MCZ_148066_2,Brama,Brama orcini,Adult,1,2.665,,9.596,7.151,3.21,10.5,9.377,20.743,10.07,1.449,5.394,2.775,Crooked body,,0.151137151,0.112628363,0.050557551,0.165375165,0.147687898,1,0.158602659,0.022821773,0.084955585,0.043706294
MCZ_148085,Pterycombus,Pterycombus brama,Juvenile,0,0.352,,0.623,0.123,0.159,0.817,0.58,1.237,0.692,0.269,0.599,0.34,,,0.00981226,0.001937252,0.002504253,0.012867763,0.009135009,1,0.010899011,0.004236754,0.009434259,0.005355005
MCZ_148087,Pterycombus,Pterycombus brama,Juvenile,0,0.475,,0.749,0.225,0.175,1.298,1.001,1.82,0.982,0.371,0.822,0.505,,,0.011796762,0.003543754,0.002756253,0.02044352,0.015765766,1,0.015466515,0.005843256,0.012946513,0.007953758
MCZ_148092,Pterycombus,Pterycombus brama,Juvenile,0,0.422,,0.687,0.273,0.212,1.056,0.745,1.577,0.861,0.338,0.758,0.446,,,0.010820261,0.004299754,0.003339003,0.016632017,0.011733762,1,0.013560764,0.005323505,0.011938512,0.007024507
MCZ_148113,Pterycombus,Pterycombus brama,Juvenile,0,0.037,,0.059,0.015,0.015,0.081,0.052,0.122,0.067,0.028,0.059,0.034,,,0.000929251,0.00023625,0.00023625,0.001275751,0.000819001,1,0.001055251,0.000441,0.000929251,0.000535501
MCZ_148116_1,Pterycombus,Pterycombus brama,Juvenile,0,0.503,,0.761,0.263,0.256,1.697,1.367,2.211,1.151,0.422,0.946,0.533,,,0.011985762,0.004142254,0.004032004,0.026727777,0.021530272,1,0.018128268,0.006646507,0.014899515,0.008394758
MCZ_148116_2,Pterycombus,Pterycombus brama,Juvenile,0,0.332,,0.56,0.144,0.084,0.797,0.576,1.192,0.644,0.273,0.546,0.299,,,0.008820009,0.002268002,0.001323001,0.012552763,0.009072009,1,0.01014301,0.004299754,0.008599509,0.004709255
MCZ_148116_3,Pterycombus,Pterycombus brama,Juvenile,0,0.287,,0.484,0.127,0.17,0.595,0.498,1.019,0.499,0.24,0.465,0.253,,,0.007623008,0.002000252,0.002677503,0.009371259,0.007843508,1,0.007859258,0.003780004,0.007323757,0.003984754
